"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Eva: A Virtual pet in Augmented Reality","A. Costa; R. Lima; S. Tamayo","SIDIA, Instituto de Ciência e Tecnologia Manaus, Manaus, Brazil; SIDIA, Instituto de Ciência e Tecnologia Manaus, Manaus, Brazil; SIDIA, Instituto de Ciência e Tecnologia Manaus, Manaus, Brazil","2019 21st Symposium on Virtual and Augmented Reality (SVR)","5 Dec 2019","2019","","","47","51","Augmented Reality applications are present in our daily lives and the smartphones are nowadays the common tool to make this possible. Several applications are being built for different areas, like medicine, engineering, education and entertainment. The main purpose of this paper is to present an Open Source application called Eva, which is a virtual pet that lives in the Augmented Reality world. This application is being built for Android devices and its main features are described in this paper as well.","","978-1-7281-5434-3","10.1109/SVR.2019.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8921099","augmented reality;mobile devices;virtual pet;entertainment","Three-dimensional displays;Androids;Humanoid robots;Bluetooth;Visualization;Smart phones;Augmented reality","augmented reality;mobile computing;smart phones","Augmented Reality applications;smartphones;common tool;education;entertainment;Open Source application;Eva;virtual pet;Augmented Reality world","","2","","","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"Stepping into the operating theater: ARAV — Augmented Reality Aided Vertebroplasty","C. Bichlmeier; B. Ockert; S. M. Heining; A. Ahmadi; N. Navab","Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universitat München, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universitat München, Germany; Trauma Surgery Department, Klinikum Innenstadt, LMU München, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universitat München, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universitat München, Germany","2008 7th IEEE/ACM International Symposium on Mixed and Augmented Reality","3 Oct 2008","2008","","","165","166","Augmented reality (AR) for preoperative diagnostics and planning, intra operative navigation and postoperative follow-up examination has been a topic of intensive research over the last two decades. However, clinical studies showing AR technology integrated into the real clinical environment and workflow are still rare. The incorporation of an AR system as a standard tool into the real clinical workflow has not been presented so far. This paper reports on the strategies and intermediate results of the ARAV - augmented reality aided vertebroplasty project that has been initiated to make an AR system based on a stereo video see-through head mounted display that is permanently available in the operating room (OR).","","978-1-4244-2840-3","10.1109/ISMAR.2008.4637348","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4637348","H.5.1 [Information Interfaces and Presentation]: Artificial, augmented, and virtual realities;J.3 [Life and Medical Sciences]","Surgery;Fault currents;Computed tomography;Current transformers;Circuit faults;Biomedical imaging;Augmented reality","augmented reality;medical computing","ARAV;augmented reality aided vertebroplasty;preoperative diagnostics;preoperative planning;intraoperative navigation;postoperative follow-up examination;operating room","","13","","9","IEEE","3 Oct 2008","","","IEEE","IEEE Conferences"
"Vision based people tracking for ubiquitous Augmented Reality applications","C. A. L. Waechter; D. Pustka; G. J. Klinker","Fachgebiet Augmented Reality, Technische Universität München, Germany; Fachgebiet Augmented Reality, Technische Universität München, Germany; Fachgebiet Augmented Reality, Technische Universität München, Germany","2009 8th IEEE International Symposium on Mixed and Augmented Reality","17 Nov 2009","2009","","","221","222","The task of vision based people tracking is a major research problem in the context of surveillance applications or human behavior estimation, but it has had only minimal impact on (Ubiquitous) Augmented Reality applications thus far. Deploying stationary infrastructural cameras within indoor environments for the purpose of Augmented Reality could provide a users' devices with additional functionality that a small device and mobile sensors cannot provide to its user. Therefore people tracking could be expected to become an ubiquitously available infrastructural element in buildings since surveillance cameras are widely used. The use for scenarios indoors or close to buildings is obvious. We present and discuss several different ways where people tracking in real-time could influence the fields of Augmented Reality and further vision based applications.","","978-1-4244-5390-0","10.1109/ISMAR.2009.5336452","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5336452","Augmented Reality;People Tracking;Sensor Fusion","Augmented reality;Cameras;Surveillance;Sensor fusion;Global Positioning System;Target tracking;Particle filters;Image analysis;Sensor systems;Fuses","augmented reality;cameras;computer vision;sensor fusion;surveillance;tracking;ubiquitous computing","vision based people tracking;ubiquitous augmented reality;surveillance;human behavior estimation;stationary infrastructural cameras;mobile sensors;sensor fusion","","8","1","7","IEEE","17 Nov 2009","","","IEEE","IEEE Conferences"
"Advanced training methods using an Augmented Reality ultrasound simulator","T. Blum; S. M. Heining; O. Kutter; N. Navab","Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Munich, Germany; Trauma Surgery Department, Klinikum Innenstadt, LMU München, Munich, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Munich, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Munich, Germany","2009 8th IEEE International Symposium on Mixed and Augmented Reality","17 Nov 2009","2009","","","177","178","Ultrasound (US) is a medical imaging modality which is extremely difficult to learn as it is user-dependent, has low image quality and requires much knowledge about US physics and human anatomy. For training US we propose an Augmented Reality (AR) ultrasound simulator where the US slice is simulated from a CT volume. The location of the US slice inside the body is visualized using contextual in-situ techniques. We also propose advanced methods how to use an AR simulator for training.","","978-1-4244-5390-0","10.1109/ISMAR.2009.5336476","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5336476","H.5.1 [Information Interfaces and Presentation]: Artificial, augmented, and virtual realities;J.3 [Life and Medical Sciences]: —","Augmented reality;Ultrasonic imaging;Medical simulation;Biological system modeling;Biomedical imaging;Image quality;Physics;Human anatomy;Computed tomography;Visualization","augmented reality;biomedical ultrasonics;computer based training;data visualisation;medical image processing;teaching","augmented reality ultrasound simulator;medical imaging;training method;image quality;US physics-and-human anatomy;CT volume;US slice;contextual in-situ visualization;teaching","","30","","10","IEEE","17 Nov 2009","","","IEEE","IEEE Conferences"
"Superman-like X-ray vision: Towards brain-computer interfaces for medical augmented reality","T. Blum; R. Stauder; E. Euler; N. Navab","Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Germany; Surgery Department, LMU München, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Germany","2012 IEEE International Symposium on Mixed and Augmented Reality (ISMAR)","7 Jan 2013","2012","","","271","272","This paper describes first steps towards a Superman-like X-ray vision where a brain-computer interface (BCI) device and a gaze-tracker are used to allow the user controlling the augmented reality (AR) visualization. A BCI device is integrated into two medical AR systems. To assess the potential of this technology first feedback from medical doctors is gathered. While in this pilot study not the full range of available signals but only electromyographic signals are used, the medical doctors provided very positive feedback on the use of BCI for medical AR.","","978-1-4673-4662-7","10.1109/ISMAR.2012.6402569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6402569","H.5.1 [Information Interfaces and Presentation]: Artificial, augmented, and virtual realities—","Biomedical imaging;Surgery;Visualization;Electromyography;Augmented reality;X-ray imaging;Monitoring","augmented reality;brain-computer interfaces;data visualisation;electromyography;medical signal processing;object tracking;visual evoked potentials","brain-computer interface;medical augmented reality;Superman-like X-ray vision;gaze-tracker;AR visualization;BCI device;medical AR system;electromyographic signal","","21","","9","IEEE","7 Jan 2013","","","IEEE","IEEE Conferences"
"Inverse Augmented Reality: A Virtual Agent's Perspective","Z. Zhang; D. Weng; H. Jiang; Y. Liu; Y. Wang","Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technology, Beijing, China; Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technology, Beijing, China; Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technology, Beijing, China; Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technology, Beijing, China; Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technology, Beijing, China","2018 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct)","29 Apr 2019","2018","","","154","157","We propose a framework called inverse augmented reality (IAR) which describes the scenario that a virtual agent living in the virtual world can observe both virtual objects and real objects. This is different from the traditional augmented reality. The traditional virtual reality, mixed reality and augmented reality are all generated for humans, i.e., they are human-centered frameworks. On the contrary, the proposed inverse augmented reality is a virtual agent-centered framework, which represents and analyzes the reality from a virtual agent's perspective. In this paper, we elaborate the framework of inverse augmented reality to argue the equivalence of the virtual world and the physical world regarding the whole physical structure.","","978-1-5386-7592-2","10.1109/ISMAR-Adjunct.2018.00056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8699316","augmented reality;inverse;virtual agent","Augmented reality;Physics;Virtual environments;Evolution (biology);Augmented virtuality;Mathematical model","augmented reality;human computer interaction;multi-agent systems","inverse augmented reality;virtual agent-centered framework;virtual world;virtual objects;traditional augmented reality;traditional virtual reality;mixed reality;IAR;human-centered frameworks","","12","","13","IEEE","29 Apr 2019","","","IEEE","IEEE Conferences"
"An Industrial Augmented Reality Solution For Discrepancy Check","P. Georgel; P. Schroeder; S. Benhimane; S. Hinterstoisser; M. Appel; N. Navab","Chair for Computer Aided Medical Procedures and Augmented Reality, TUM Munich, Germany; Chair for Computer Aided Medical Procedures and Augmented Reality, TUM Munich, Germany; Siemens Corporate Technology, Munich, Germany; Chair for Computer Aided Medical Procedures and Augmented Reality, TUM Munich, Germany; Chair for Computer Aided Medical Procedures and Augmented Reality, TUM Munich, Germany; Chair for Computer Aided Medical Procedures and Augmented Reality, TUM Munich, Germany","2007 6th IEEE and ACM International Symposium on Mixed and Augmented Reality","6 Jun 2008","2007","","","111","115","Construction companies employ CAD software during the planning phase, but what is finally built often does not match the original plan. The procedure of validating the model is called ""discrepancy check"". The system proposed here allows the user to easily obtain an augmentation in order to find differences between the planned 3D model and the built items. The main difference to previous body of work in this field is the emphasis on usability and acceptance of the solution. While standard image-based solutions use markers or rely on a ""perfect"" 3D model to find the pose of the camera, our software uses anchor-plates. Anchor-Plates are rectangular structures installed on walls and ceiling in the majority of industrial edifices. We are using them as landmarks because they are the most reliable components often used as reference coordinates by constructors. Furthermore, for real industrial applications, they are the most suitable solutions in terms of general applicability. Unfortunately, they have not been designed with computer vision applications in mind. On the contrary, they are often made or painted in such way that they are not easily popping out. They are therefore difficult targets to segment and to track. This paper proposes a solution to extract and match them to their 3D counterparts. We created a software that uses the detected structures for pose estimation and image augmentation. The software has been successfully employed to find discrepancies in several rooms of two industrial plants.","","978-1-4244-1749-0","10.1109/ISMAR.2007.4538834","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4538834","H.5.1 [Multimedia Information Systems];H.5.2 [User Interfaces];I.4.6 [Segmentation];I.4.9 [Applications]","Augmented reality;Application software;Construction industry;Usability;Software standards;Cameras;Computer vision;Image segmentation;Target tracking;Industrial plants","augmented reality;CAD;computer vision;construction industry;production engineering computing","industrial augmented reality solution;discrepancy check;CAD software;construction companies;anchor-plates;computer vision","","26","7","18","IEEE","6 Jun 2008","","","IEEE","IEEE Conferences"
"mirracle: An augmented reality magic mirror system for anatomy education","T. Blum; V. Kleeberger; C. Bichlmeier; N. Navab","Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Munich, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Munich, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Munich, Germany; Computer Aided Medical Procedures & Augmented Reality (CAMP), Technische Universität München, Munich, Germany","2012 IEEE Virtual Reality Workshops (VRW)","12 Apr 2012","2012","","","115","116","We present an augmented reality magic mirror for teaching anatomy. The system uses a depth camera to track the pose of a user standing in front of a large display. A volume visualization of a CT dataset is augmented onto the user, creating the illusion that the user can look into his body. Using gestures, different slices from the CT and a photographic dataset can be selected for visualization. In addition, the system can show 3D models of organs, text information and images about anatomy. For interaction with this data we present a new interaction metaphor that makes use of the depth camera. The visibility of hands and body is modified based on the distance to a virtual interaction plane. This helps the user to understand the spatial relations between his body and the virtual interaction plane.","2375-5334","978-1-4673-1246-2","10.1109/VR.2012.6180909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6180909","H.5.1 [Information Interfaces and Presentation]: Artificial, augmented, and virtual realities","Visualization;Glass;Computed tomography;Mirrors;Cameras;Augmented reality;Education","augmented reality;biomedical education;cameras;computer aided instruction;computerised tomography;data visualisation","mirracle;anatomy education;augmented reality magic mirror system;depth camera;pose tracking;large display;volume visualization;CT dataset;CT slices;photographic dataset;3D models;organs;text information;interaction metaphor","","114","","8","IEEE","12 Apr 2012","","","IEEE","IEEE Conferences"
"User awareness of tracking uncertainties in AR navigation scenarios","F. Pankratz; A. Dippon; T. Coskun; G. Klinker","Fachgebiet Augmented Reality, Technische Universität München, Garching b. München, Germany; Fachgebiet Augmented Reality, Technische Universität München, Garching b. München, Germany; Fachgebiet Augmented Reality, Technische Universität München, Garching b. München, Germany; Fachgebiet Augmented Reality, Technische Universität München, Garching b. München, Germany","2013 IEEE International Symposium on Mixed and Augmented Reality (ISMAR)","23 Dec 2013","2013","","","285","286","Current Augmented Reality navigation applications for pedestrians usually do not visualize tracking errors. However, tracking uncertainties can accumulate so that the user is presented with a distorted impression of navigation accuracy. To increase the awareness of users about potential imperfections of the tracking at a given time, we alter the visualization of the navigation system. We developed four visualization and error visualization concepts and used a controlled Mixed Reality environment to conduct a pilot study. We found that, while error visualization has the potential to improve AR navigation systems, it is difficult to find suitable visualizations, which are correctly understood among the users.","","978-1-4799-2869-9","10.1109/ISMAR.2013.6671807","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6671807","","Visualization;Navigation;Target tracking;Augmented reality;Accuracy;Color","augmented reality;navigation;pedestrians","user awareness;tracking uncertainties;AR navigation scenarios;augmented reality navigation applications;pedestrians;tracking errors;navigation accuracy;error visualization;mixed reality environment;AR navigation systems","","8","","6","IEEE","23 Dec 2013","","","IEEE","IEEE Conferences"
"Industrial Augmented Reality: Requirements for an Augmented Reality Maintenance Worker Support System","M. Lorenz; S. Knopp; P. Klimant","Institute for Machine Tools and Production Processes, Chemnitz University of Technology; Institute for Machine Tools and Production Processes, Chemnitz University of Technology; Institute for Machine Tools and Production Processes, Chemnitz University of Technology","2018 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct)","29 Apr 2019","2018","","","151","153","Supporting maintenance workers with Augmented Reality (AR) applications has always been one key use case to demonstrate the advantages of AR. However, such AR applications are still not widely used in industry, which may lay at the complex industrial requirements. We present the user, technical, environmental and regulative requirements for an AR maintenance worker support system, which were gathered by analyzing three diverse production sites.","","978-1-5386-7592-2","10.1109/ISMAR-Adjunct.2018.00055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8699183","Augmented Reality;Requirements;Maintenance;Service;[Human-centered computing]: Mixed / augmented reality;[Computer systems organization]: Embedded and cyber-physical systems","Maintenance engineering;Augmented reality;Task analysis;Safety;Gears;Glass","augmented reality;maintenance engineering;personnel;production engineering computing","AR applications;complex industrial requirements;technical requirements;environmental requirements;regulative requirements;AR maintenance worker support system;maintenance workers;augmented reality applications;augmented reality maintenance worker support system;industrial augmented reality;production sites","","33","","12","IEEE","29 Apr 2019","","","IEEE","IEEE Conferences"
