"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"InspectAR: An Augmented Reality Inspection Framework for Industry","R. Perla; G. Gupta; R. Hebbalaguppe; E. Hassan","TCS Research, Delhi, India; TCS Research, Delhi, India; TCS Research, Delhi, India; TCS Research, Delhi, India","2016 IEEE International Symposium on Mixed and Augmented Reality (ISMAR-Adjunct)","2 Feb 2017","2016","","","355","356","With the advancement in camera technologies and data streaming protocols, AR based applications are proving to be an important aid for inspection, training and supervision tasks in various operations including automotive industry, education etc. We demonstrate an AR based re-configurable inspection framework that can be utilized in cross-domain applications such as maintenance and repair assistance in industrial inspection and automotive/avionics domain inspection, amongst others. A deep learning component detects parts viewed in inspector's Field-of-View (FoV) accurately and the corresponding inspection check-list can be prioritized based on detection results. The back-end of the framework is easily configurable for different applications where instructions can be directly imported and visually integrated with inspection type. Accurate recording of status of inspection is provided through evidence capturing of images, notes and videos. Our current framework supports all the Android based devices and will be demonstrated on Google Glass, Google Cardboard with smartphone, and Tablet with the help of 3D printer inspection use-case.","","978-1-5090-3740-7","10.1109/ISMAR-Adjunct.2016.0119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7836540","H.5.1 [Information Interfaces and Presentation]: Artificial;Augmented;and Virtual Realities—; [Human-centered computing]: Ubiquitous and mobile computing—Ambient Intelligence I.4.8 [Computing Methodologies]: Image Processing and Computer Vi","Inspection;Google;Servers;Glass;Object detection;Augmented reality;Printers","Android (operating system);augmented reality;automatic optical inspection;image capture;learning (artificial intelligence);printers;production engineering computing;smart phones;three-dimensional printing","augmented reality inspection;InspectAR;camera technologies;data streaming protocols;AR based applications;AR based reconfigurable inspection;cross-domain applications;deep learning component;inspector field-of-view;inspection check-list;part detection;inspection type;evidence image capturing;Android based devices;Google Glass;Google Cardboard;smartphone;Tablet;3D printer inspection use-case","","12","1","3","IEEE","2 Feb 2017","","","IEEE","IEEE Conferences"
"Research on Augmented Reality Technology in the Training of Pre-flight Safety Inspect Process","W. Ye; N. He; J. Wang","R&D Center, The Second Research Institute of CAAC, Chengdu, China; R&D Center, The Second Research Institute of CAAC, Chengdu, China; R&D Center, The Second Research Institute of CAAC, Chengdu, China","2022 IEEE Asia-Pacific Conference on Image Processing, Electronics and Computers (IPEC)","23 May 2022","2022","","","68","71","Traditional pre-flight safety training mainly relies on paper manuals or manual teaching, which is inefficient and of low quality, cannot meet the current trend of urgent introducing aircraft inspection personnel. In the inspect process, there is no real-time information support and guidance, and the difficult problems on the site cannot be solved in time, resulting in low inspect efficiency, but also easy to induce technical errors caused by human factors, such as the inspect personnel carelessly missed a certain step during the inspection process, that will result in many adverse consequences. Based on the current situation of civil aviation inspection industry, the pre-flight inspect process work is complexity, training technicians to efficiently perform new skills is challenging. fortunately, training of this type can be supported by Augmented Reality, a powerful industrial training technology that directly links instructions on how to perform the service tasks to the aircraft components that require processing. Meanwhile, because of the increasing complexity of inspection tasks, it is not sufficient to train the technicians in task execution. It is not sufficient to train the technicians in task execution. an effective solution with the help of visualization technology is proposed. It is mainly to digitize paper manual materials into text information, pictures, videos, 3D models and other multimedia means, combined with human computer interaction development, efficient inspection training services and real-time reliable inspection guidance services. Based on Unity 3D engine and with the help of Microsoft Hololens2, the augmented reality aircraft per-flight inspection training system pursues high-precision process guidance.","","978-1-6654-0902-5","10.1109/IPEC54454.2022.9777423","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9777423","Augmented Reality;Training;Inspection;Aviation;Graphical user interface","Training;Three-dimensional displays;Manuals;Inspection;Real-time systems;Safety;Personnel","aircraft;aircraft maintenance;augmented reality;computer based training;human factors;inspection","human factors;aircraft inspection personnel;pre-flight safety training;powerful industrial training technology;technician training;pre-flight inspect process;civil aviation inspection industry;inspect efficiency;real-time information support;manual teaching;paper manuals;high-precision process guidance;augmented reality aircraft per-flight inspection training system;real-time reliable inspection guidance services;task execution;inspection tasks","","1","","19","IEEE","23 May 2022","","","IEEE","IEEE Conferences"
"Application of Augmented Reality for Aviation Equipment Inspection and Maintenance Training","C. -C. Peng; A. -C. Chang; Y. -L. Chu","Department of Aeronautics and Astronautics, National Cheng Kung University, Tainan, Taiwan; Department of Aeronautics and Astronautics, National Cheng Kung University, Tainan, Taiwan; Department of Aeronautics and Astronautics, National Cheng Kung University, Tainan, Taiwan","2022 8th International Conference on Applied System Innovation (ICASI)","19 May 2022","2022","","","58","63","In the procedure of aviation equipment maintenance, a healthy status and prior knowledge are essential to every person. Making the newcomers get familiar with their tasks rapidly and reducing human error are important issues. Augmented reality (AR) integrated with the popular artificial intelligence (AI) technology can provide smart system inspections and train maintenance professionals on how to perform important maintenance procedures effectively and accurately. Utilization of the AR not only replaces classic manual training but also provides high mobility pre-training opportunities. In other words, AR is capable of taking equipment maintenance to the next level. In this paper, an application for aviation equipment inspection is developed. By using AR and AI, traditional standard operation procedures (SOP) can be visualized and standardized. Therefore, people who are not familiar with the maintenance procedure can still finish the standard inspections. The developed software gives a great contribution to human resources for maintenance training. Demonstrations including turbofan and landing gear are provided by using HoloLens 2 to illustrate the application novelty. Finally, pros and cons regarding maintenance using AR are also discussed.","2768-4156","978-1-6654-9650-6","10.1109/ICASI55125.2022.9774490","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9774490","Augmented reality;maintenance;HoloLens 2","Training;Costs;Gears;Maintenance engineering;Inspection;Software;Artificial intelligence","aerospace computing;artificial intelligence;augmented reality;inspection;maintenance engineering;mechanical engineering computing","maintenance training;application novelty;augmented reality;aviation equipment inspection;aviation equipment maintenance;healthy status;human error;artificial intelligence technology;AI;smart system inspections;train maintenance professionals;high mobility pre-training opportunities;maintenance procedure;standard inspections","","","","14","IEEE","19 May 2022","","","IEEE","IEEE Conferences"
"Application of Augmented Reality for Equipment Maintenance and Employee Training in Manufacturing Plant","H. -H. Hsu; C. -Y. Chuang","Department of Multimedia and Game Development, Chia Nan University of Pharmacy & Science, Tainan, Taiwan; HAMASTAR Technology Co., Ltd., Kaohsiung, Taiwan","2022 IEEE 4th Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)","17 Nov 2022","2022","","","136","139","The industrial design development of AR devices provides a convenient way to use AR technology for production, training, and inspection. In this paper, the application of augmented reality technology is explored for industrial purposes through the professional engines, Unity and Vuforia SDK, for Android app development. A manufacturing plant is used as an example, and preventive equipment maintenance is achieved by an instruction presentation on a display. By using AR technology, new employees with average ability and little experience can accurately perform various on-site maintenance operations, which helps learn technical experience.","","978-1-7281-9579-7","10.1109/ECBIOS54627.2022.9945026","Ministry of Economic Affairs; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9945026","Augmented Reality;AR;Training;Maintenance","Training;Printing;Maintenance engineering;Production facilities;Mobile handsets;Manufacturing;Resource management","Android (operating system);augmented reality;computer based training;continuing professional development;industrial plants;industrial training;inspection;personnel;preventive maintenance;production engineering computing;production equipment","Android app development;AR devices;augmented reality;employee training;industrial design development;inspection;instruction presentation;manufacturing plant;on-site maintenance operations;preventive equipment maintenance;professional engines;technical experience;Unity;Vuforia SDK","","1","","6","IEEE","17 Nov 2022","","","IEEE","IEEE Conferences"
"Leveraging the strength of mixed reality for maintenance training -- A case study in large pumped storage power station","C. Wen; H. Ji; M. Hou; X. Qiu; Y. Zhao; J. Zou; H. Shen; Z. Yang","CSG POWER GENERATION CO., LTD MAINTENANCE AND TEST BRANCH, Guangzhou, China; CSG Power Generation Co.,Ltd Qingyuan Pumped Storage Power Generation Co.,Ltd, Guangzhou, China; CSG Power Generation Co.,Ltd Qingyuan Pumped Storage Power Generation Co.,Ltd, Guangzhou, China; CSG POWER GENERATION CO., LTD MAINTENANCE AND TEST BRANCH, Guangzhou, China; CSG POWER GENERATION CO., LTD MAINTENANCE AND TEST BRANCH, Guangzhou, China; CSG POWER GENERATION CO., LTD MAINTENANCE AND TEST BRANCH, Guangzhou, China; CSG POWER GENERATION CO., LTD MAINTENANCE AND TEST BRANCH, Guangzhou, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China","2022 9th International Forum on Electrical Engineering and Automation (IFEEA)","10 Feb 2023","2022","","","6","10","With the development and reform of electric power enterprises, the demand for electric power inspection personnel in power plant enterprises has increased. However, power generation companies have problems such as different training needs for maintenance personnel, training methods that do not conform to enterprise development, and mismatch between teaching materials and training work. At the same time, the differences in employees’ own professional skills and ability to receive knowledge have resulted in low training efficiency. In order to solve this situation, this paper analyzes the shortcomings of the existing training methods, systems and standards for power plant maintenance personnel. The mixed reality augmented technology was proposed to improve the training efficiency of power plant maintenance personnel.","","978-1-6654-6421-5","10.1109/IFEEA57288.2022.10038214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10038214","Mixed reality;maintenance training;power plants","Training;TV;Mixed reality;Maintenance engineering;Power systems;Personnel;Task analysis","augmented reality;electricity supply industry;inspection;maintenance engineering;personnel;power generation economics;pumped-storage power stations","different training needs;electric power enterprises;electric power inspection personnel;enterprise development;existing training methods;low training efficiency;maintenance training;mixed reality;power generation companies;power plant enterprises;power plant maintenance personnel;pumped storage power station;teaching materials;training work","","","","16","IEEE","10 Feb 2023","","","IEEE","IEEE Conferences"
"A protocol for visual cues in collaborative augmented reality applications","T. F. Emerenciano; L. V. Tenório; G. S. Moura; J. M. Teixeira; J. Kelner; I. Patriota; G. Almeida","Centro de Informática (CIn), Universidade Federal de Pernambuco, Recife, Pernambuco, Brazil; Centro de Informática (CIn), Universidade Federal de Pernambuco, Recife, Pernambuco, Brazil; Centro de Informática (CIn), Universidade Federal de Pernambuco, Recife, Pernambuco, Brazil; Centro de Informática (CIn), Universidade Federal de Pernambuco, Recife, Pernambuco, Brazil; Centro de Informática (CIn), Universidade Federal de Pernambuco, Recife, Pernambuco, Brazil; Companhia Hidro-Elétrica do São Francisco (CHESF), Recife, Pernambuco, Brazil; NA","2012 14th Symposium on Virtual and Augmented Reality","10 Sep 2012","2012","","","84","90","Inspection and maintenance of complex hardware equipment can have an elevated cost, due to the sophisticated training required for the technicians responsible for those tasks. The use of collaborative Augmented Reality can solve, or at least reduce, the cost of these activities. This paper proposes a protocol for the transmission of visual cues, represented by Augmented Reality elements, in collaborative applications. The protocol focuses on a client-server communication, where the client has the role to remotely supervise the activities, possibly sending interest points or instruction to the server. A prototype application was developed in order to demonstrate the advantages of a real application usage.","","978-1-4673-1929-4","10.1109/SVR.2012.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6297563","augmented reality;collaboration;communication protocol;remote;mobile device","Visualization;Augmented reality;Protocols;Collaboration;Image resolution;Quality of service;Tablet computers","augmented reality;client-server systems;computer based training;computer maintenance;groupware;inspection;protocols","collaborative augmented reality applications;complex hardware equipment maintenance;complex hardware equipment inspection;cost reduction;visual cues transmission protocol;client-server communication;remote supervision;training","","1","","12","IEEE","10 Sep 2012","","","IEEE","IEEE Conferences"
"Expansion augmented reality technology applied to the maintenance and diagnosis of equipment","W. -J. Shyr; C. -F. Chiou; C. -M. Lin","Department of Industrial Education and Technology, National Changhua University of Education, Changhua, Taiwan; Department of Industrial Education and Technology, National Changhua University of Education, Changhua, Taiwan; Department of Industrial Education and Technology, National Changhua University of Education, Changhua, Taiwan","2021 International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)","28 Dec 2021","2021","","","1","2","This study uses the expansion augmented reality technology combined with the virtual integration networking platform to realize the maintenance and diagnosis of equipment guarantee for engineers in the factory production line, as well as the establishment of the basic process of equipment operation, regular inspection of equipment to maintain the normal operation of production line equipment major tasks. Equipment operators in factory production lines are subject to rigorous education and training, with varying quality differences among employees, and some require experienced operators to be effective in achieving operational efficiency. In addition, in response to the rapid changes in the global pneumonia epidemic (COVID-19) and the mature development of Internet of Things technology to change the operating mode of most industries in Taiwan, the problem of personnel diversion to work groups, the data adjustment of traditional production line equipment parameters depended on paper records, data experience is not easy to pass on.","","978-1-6654-1951-2","10.1109/ISPACS51563.2021.9651035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9651035","augmented reality;virtual and real integration;internet of things;big data;pre-diagnosis and maintenance","Training;Image color analysis;Pulmonary diseases;Process control;Maintenance engineering;Signal processing;Production facilities","augmented reality;epidemics;inspection;Internet of Things;maintenance engineering;production engineering computing;production equipment","augmented reality technology;maintenance;virtual integration networking platform;equipment guarantee;factory production line;equipment operation;production line equipment parameters;global pneumonia epidemic;COVID-19;Internet of Things","","","","4","IEEE","28 Dec 2021","","","IEEE","IEEE Conferences"
"Development of travel speed detection method in welding simulator using augmented reality","A. S. Baskoro; I. Haryanto","Mechanical Engineering Departement, Universitas Indonesia Kampus UI Depok, Indonesia; Mechanical Engineering Departement, Universitas Indonesia Kampus UI Depok, Indonesia","2015 International Conference on Advanced Computer Science and Information Systems (ICACSIS)","25 Feb 2016","2015","","","269","273","This paper explains about travel speed detection method that can be applied as the welding simulator using augmented reality. In welding process, the travel speed is an important parameter that influences the welding quality. In the future, this simulator can be used in welder training with a relatively low cost. This method uses ARToolkit, OpenGL library, and Autodesk 3Ds Max software for building the simulator. This method is the development of welding simulator that will show the deviation and accuracy of moving marker detection. This method uses differences in distance of the coordinate per unit time algorithm, taken from the amount of frames per second (FPS) of a camera. After this method was successfully built, the measurement data is taken to analyze the accuracy and the number of error in speed detection by the simulator from the actual speed with different light intensity parameter. The result is that the error in speed detection is not too large, so this simulator was successfully built and it can be developed further to get more sophisticated features on welding process in the future.","","978-1-5090-0363-1","10.1109/ICACSIS.2015.7415194","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7415194","Augmented Reality;Welding Simulator;Travel Speed","Welding;Cameras;Fluorescence;Databases;Light emitting diodes;Lighting;Documentation","augmented reality;automatic optical inspection;cameras;digital simulation;product quality;production engineering computing;velocity measurement;welding","travel speed detection method development;welding simulator;augmented reality;welding process;welding quality;welder training;ARToolkit;OpenGL library;Autodesk 3D Max software;moving marker detection;coordinate per unit time algorithm;frame per second;FPS;camera;measurement data analysis","","8","","7","IEEE","25 Feb 2016","","","IEEE","IEEE Conferences"
"[POSTER] Planning-Based Workflow Modeling for AR-enabled Automated Task Guidance","F. Han; J. Liu; W. Hoff; H. Zhang","Department of Computer Science, Colorado School of Mines, Golden, CO, USA; Department of Computer Science, Colorado School of Mines, Golden, CO, USA; Colorado School of Mines, Golden, CO, US; Department of Computer Science, Colorado School of Mines, Golden, CO, USA","2017 IEEE International Symposium on Mixed and Augmented Reality (ISMAR-Adjunct)","30 Oct 2017","2017","","","58","62","In this paper, we implemented and validated a workflow modeling approach that is able to model a sequence of procedures to achieve a complex task to enable an AR-based automated task guidance system. We formulated automated task guidance as a decision making problem, based upon the general Partially Observable Markov Decision Processes (POMDP) paradigm as the foundation. Our approach is able to provide actionable information to actively instruct users through a complex multi-step task. Our method can also plan ahead an action sequence that is optimal in the long term, while maintaining flexibility to deal with changes in an uncertain environment. We validated our approach in the applications of copy machine inspection and compressor startup guidance. The experimental results have shown the effectiveness of our planning-based workflow models in real-world applications.","","978-0-7695-6327-5","10.1109/ISMAR-Adjunct.2017.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8088449","Workflow modeling;augmented reality;task guidance","Inspection;Pulse width modulation;Hidden Markov models;Maintenance engineering;Computational modeling;Training data","augmented reality;compressors;decision making;inspection;Markov processes;mechanical engineering computing;planning (artificial intelligence);workflow management software","workflow modeling approach;complex task;decision making problem;general Partially Observable Markov Decision Processes paradigm;actionable information;complex multistep task;action sequence;compressor startup guidance;planning-based workflow models;AR-enabled automated task guidance system;copy machine inspection","","","","8","IEEE","30 Oct 2017","","","IEEE","IEEE Conferences"
"An Enhanced Photorealistic Immersive System using Augmented Situated Visualization within Virtual Reality","M. I. Iglesias; M. Jenkins; G. Morison","School of Engineering and Built Environment, Glasgow Caledonian Universit, Glasgow, United Kingdom; School of Engineering and Built Environment, Glasgow Caledonian Universit, Glasgow, United Kingdom; School of Engineering and Built Environment, Glasgow Caledonian Universit, Glasgow, United Kingdom","2021 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW)","6 May 2021","2021","","","514","515","This work presents a system which allows image data and extracted features from a real-world location to be captured and modelled in a Virtual Reality (VR) environment combined with Augmented Situated Visualizations (ASV) overlaid and registered in a virtual environment. Combining these technologies with techniques from Data Science and Artificial Intelligence (AI)(such as image analysis and 3D reconstruction) allows the creation of a setting where remote locations can be modelled and interacted with from anywhere in the world. This Enhanced Photorealistic Immersive (EPI) system is highly adaptable to a wide range of use cases and users as it can be utilized to model and interact with any environment which can be captured as image data (such as training for operation in hazardous environments, accessibility solutions for exploration of historical/tourism locations and collaborative learning environments). A use case example focused on a structural examination of railway tunnels along with a pilot study is presented, which can demonstrate the usefulness of the EPI system.","","978-1-6654-4057-8","10.1109/VRW52623.2021.00139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9419272","Virtual reality;Situated visualization;Immersive analytics;Visual structural inspection","Training;Solid modeling;Adaptation models;Three-dimensional displays;Image analysis;Conferences;Virtual environments","computer aided instruction;feature extraction;groupware;image reconstruction;rendering (computer graphics);travel industry;virtual reality","EPI system;collaborative learning environments;hazardous environments;remote locations;image analysis;virtual environment;Augmented Situated Visualizations;Virtual Reality environment;real-world location;image data;Augmented Situated visualization;Enhanced Photorealistic Immersive system","","1","","6","IEEE","6 May 2021","","","IEEE","IEEE Conferences"
