Publication Year,Author Keywords,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Internet of Things;Blockchain;Data Interaction,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins;Internet of Things (IoT);Distributed Ledger Technologiess (DLTs);Hyperledger Fabric;interoperability;decentralization;immutability;auditability;availability;reliability,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital Twins;Industrial Internet of Things;Cyber-Physical Systems;Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin technology;Architecture;Key technology;Smart Internet of things;Big data technology;Big data platform,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Forestry 4.0;Digital Twins;ForestML 4.0;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,artificial intelligence;YOLOv3;digital twin;BIM;internet of things;big data;construction;FFNN model,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IIoT;Digital Twin;AGV,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins;Distributed Ledger Technologies;Internet of Things;Sensing;Actuation;Blockchain;Ethereum;Hyperledger Fabric;Auditability;Availability,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Edge Computing;Cloud Computing;Smart Building;Computer Vision;Internet of Things (IoT),,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twin;Digital Thing;Abstraction;Upcasting;Inheritance,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Model-Driven Engineering;Architecture Deployment,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Equipment monitoring system;energy characteristics;Digital Twins;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;cyber-physical system;industrial Internet of things;small and micro parks,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cloud computing;Communication protocols;Cyber-physical systems;Digital twin;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,cyber-physical systems;digital twin;service-oriented architectures;3D model;industry 4.0;cloud computing,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Block chain;Smart contracts;Decentralized blocks;Artificial intelligence;Digital twin creation;IoT;taxonomy;Hash function and cloud servers,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twins;Internet of Things;IoT Platform;MCU system,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Geological disasters;monitoring and early warning;digital twin;BP neural network,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Data driven;digital twin (DT);framework;high-dimensional indicator;jointly spatial-temporal analysis;situation awareness (SA);uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Soil Carbon Accounting;Proximity Radar Sensor;Internet of Living Things (IoT);Artificial Intelligent Internet of Things (AIoT);Artificial Intelligent Internet of Living Things (AIoLT),,,,,,,,,,,,,,,,,,,,,,,,,
2020,Industry 4.0;IoT;Digital Twins;Open-Source;Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Blockchain;cooperative federated learning;digital twin edge networks;directed acyclic graph (DAG);iterative double auction,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;digital transformation;smart manufacturing;industry 4.0;structural health monitoring;5G,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Internet of Things (IoT);Artificial Intelligence;Digital Twin;Smart Campus,,,,,,,,,,,,,,,,,,,,,,,,,
2021,rod pump;digital twin;model;simulation,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Industrial Internet of Things (IIoT);GRAFCET virtual machine (GVM);digital twin;programming logic controller (PLC);gateway;cyber-physical system (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital twin;eGastronomic things;augmented reality;virtual reality;3D interaction;Internet of Things;security,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Cold chain;digital twins;risk analysis;temperature-sensitive-products,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Smart City;IOT;Simulation;AI;BIM;IFC;HVAC,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins;ICPS;Eclipse Arrowhead Framework;DTaaP.,,,,,,,,,,,,,,,,,,,,,,,,,
