"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Digital Twin as A Mixed Reality Platform for Art Exhibition Curation","I. Yeom; W. Woo","UVR Lab, GSCT, KAIST; UVR Lab, GSCT, KAIST","2021 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW)","6 May 2021","2021","","","424","425","We present a digital twin-based Mixed Reality platform for arts curators. Despite the rising presence of exhibitions in varying digital formats, the virtual engagement of arts curators has been nearly disabled. To replicate and enhance the professional capability of arts curators in the virtual realm, our system integrates a digital twin art space and 3D authoring techniques, aided with spatial and semantic metadata. Our user evaluation proves the system’s usability, and its capacity to support curatorial activities. With this, we aim to provide a groundwork to similar systems that also extend arts curator’s creativity and outreach beyond time and space.","","978-1-6654-4057-8","10.1109/VRW52623.2021.00094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9419099","Virtual Curation;Digital Twin Museum;3D Authoring;Visualization design and evaluation methods","Visualization;Art;Three-dimensional displays;Digital twin;Conferences;Semantics;Mixed reality","art;information retrieval systems;meta data;virtual reality","art exhibition curation;arts curators;digital formats;digital twin art space;arts curator;digital twin-based mixed reality platform;3D authoring techniques;curatorial activities;semantic metadata;virtual realm","","1","","5","IEEE","6 May 2021","","","IEEE","IEEE Conferences"
"IDTVR: A Novel Cloud Framework for an Interactive Digital Twin in Virtual Reality","Y. Zhong; B. Marteau; A. Hornback; Y. Zhu; W. Shi; F. Giuste; J. J. Krzak; A. Graf; R. Chafetz; M. D. Wang","Department of Electrical Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Electrical Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Computer Science, Georgia Institute of Technology, Atlanta, GA, USA; Department of Electrical Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Electrical Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Biomedical Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Shriners Children’s, USA; Shriners Children’s, USA; Shriners Children’s, USA; Department of Biomedical Engineering, Georgia Institute of Technology, Atlanta, GA, USA","2022 IEEE 2nd International Conference on Intelligent Reality (ICIR)","23 Mar 2023","2022","","","21","26","Digital Twins (DTs) and Virtual Reality (VR) have recently gained significant popularity. The term digital twin refers to a virtual representation of a real-world environment. DTs are known for providing intuitive, accurate, and real-time visualizations of complex physical systems. In this paper, we present a novel, cloud-based framework for creating digital twin environments using VR within a cloud environment. We demonstrate our framework with two real-world case studies inspired by clinical insights obtained from experts in post-stroke rehabilitation. In the case of rehabilitation, sessions within virtual scenarios mimicking patients’ everyday life may significantly improve their rehabilitation quality. Inspired by biofeedback, we used a digital twin in VR to allow patients to enhance hand stability using real-time data streaming. Our second case study demonstrated the utility of our approach for allowing patients to more comfortably navigate within their homes by generating a virtual twin of an apartment. Our work is designed to transcend the boundary between reality and virtuality by letting users interact directly with the real and virtual worlds simultaneously. To achieve real-time synchronization between the real and the virtual environments, we established an infrastructure blueprint that features efficient sensor data collection, streaming, processing, and storage in a secure cloud environment. Data may then be accessed from any site, directly from the cloud, to update the virtual environment. In the end, we show that our infrastructure is generalizable across clinically-relevant tasks. We hope to extend our work to other areas that would benefit from a digital twin-based VR space.","","978-1-6654-8755-9","10.1109/ICIR55739.2022.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10070914","digital twin;virtual reality;post-stroke rehabilitation;Internet of Things;cloud services;Microsoft Azure","Cloud computing;Software libraries;Virtual environments;Data visualization;Real-time systems;Stability analysis;Digital twins","cloud computing;digital twins;patient rehabilitation;virtual reality","cloud-based framework;complex physical systems;digital twin environments;digital twin-based VR space;Digital Twins;DTs;interactive digital twin;novel cloud framework;patients;post-stroke rehabilitation;real worlds;real-time data;real-time synchronization;real-time visualizations;real-world case studies;rehabilitation quality;secure cloud environment;significant popularity;term digital twin;virtual environment;Virtual Reality;virtual representation;virtual scenarios;virtual twin;virtual worlds;virtuality","","","","17","IEEE","23 Mar 2023","","","IEEE","IEEE Conferences"
"The Current Situation and Prospect of the Development of Metaverse Technology","P. Que; Y. Zeng; F. Gao","Tibet University, Lasa, China; Tibet University, Lasa, China; Tibet University, Lasa, China","2022 4th International Conference on Applied Machine Learning (ICAML)","7 Mar 2023","2022","","","1","5","Metaverse uses technology such as VR, AR and other technologies to realize the transition from the real world to the virtual world mapping, using the blockchain Lightning Network and NFT unique authentication to decentralize management and authentication of assets in the metaverse. This paper summarizes the development of the metaverse and determines the structural framework of the metaverse, analyzes the relationship and connection between the metaverse and the extended reality (XR) and digital twins, and realizes the advantages of looking forward to the future development of the metaverse based on current technology.","","978-1-6654-6265-5","10.1109/ICAML57167.2022.00089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10056489","metaverse;blockchain;NFT;digital twin","Metaverse;Extended reality;Authentication;Lightning;Machine learning;Digital twins;Blockchains","augmented reality;authorisation;blockchains;digital twins","asset authentication;augmented reality;blockchain lightning network;digital twins;extended reality;management decentralization;metaverse technology;NFT unique authentication;virtual reality;virtual world mapping","","","","10","IEEE","7 Mar 2023","","","IEEE","IEEE Conferences"
"Metaverse: Challenges for Extended Reality and Holographic-Type Communication in the Next Decade","I. F. Akyildiz",ITU Journal on Future and Evolving Technologies (ITU J FET),"2022 ITU Kaleidoscope- Extended reality – How to boost quality of experience and interoperability","2 Jan 2023","2022","","","1","2","The metaverse is an iteration of the Internet with immersive and hyperreal 3D digital virtual worlds. It can recreate the physical world using technologies such as digital twins, avatars, and holograms. Besides creating digital models of physical environments, the metaverse allows the existence of virtual information, objects, human beings, and environments that do not exist in the physical world. The mixture of real and virtual content in the metaverse can significantly improve users’ capabilities for work, entertainment, education, healthcare, and manufacturing [1] . Development of the metaverse includes three major areas: (1) metaverse content/service design, (2) metaverse core and edge network design, and (3) fully connected networks for metaverse devices in the physical world.","","978-92-61-36151-8","10.23919/ITUK56368.2022.10003048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10003048","","Wireless communication;Three-dimensional displays;Metaverse;Extended reality;Medical services;Manufacturing;Internet","avatars;entertainment;Internet;virtual reality","digital models;digital twins;edge network design;extended reality;holographic-type communication;hyperreal 3D digital virtual worlds;immersive D digital virtual worlds;metaverse devices;physical environments;physical world;virtual content;virtual information","","","","8","","2 Jan 2023","","","IEEE","IEEE Conferences"
"The Metaverse evolution: Toward Future Digital Twin Campuses","P. Antonijevic; M. Iqbal; G. Ubakanma; T. Dagiuklas","Cognitive Systems Research Centre | School of Engineering, School of Engineering, London South Bank University; Cognitive Systems Research Centre | School of Engineering, School of Engineering, London South Bank University; Cognitive Systems Research Centre | School of Engineering, School of Engineering, London South Bank University; Cognitive Systems Research Centre | School of Engineering, School of Engineering, London South Bank University","2022 Human-Centered Cognitive Systems (HCCS)","5 Apr 2023","2022","","","1","8","The term ‘Metaverse’ has been used to refer to the next generation Internet (NextG). New, developing, and recently innovation technologies have enabled the incorporation of digital twins into education's metaverse. This is a shared virtual area that combines all virtual worlds over the Internet. This will enable users represented by digital avatars to interact and cooperate as if they were in the physical world. While the metaverse may seem futuristic, it is accelerating because of emerging technologies such as AI and Extended Reality. This paper explores the technologies utilised to build the metaverse and practical applications on improving the educational experience and offer value by optimising how students are taught. Thus, we shall study in detail eight enabling technologies that are important for the Metaverse ecosystem: Virtual, Augmented, and Mixed Reality. Autonomy of Avatar, Computer Agent, and Digital Twin. Data Storage, Data sharing and Data interoperability. This article will discuss prospective metaverse technology and its difficulties. Finally, we have looked at societal acceptance, privacy, and security challenges.","","978-1-6654-5041-6","10.1109/HCCS55241.2022.10090250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10090250","Metaverse;Extended Reality;Artificial Intelligence;Augmented Reality;Mixed Reality and Virtual Reality;Autonomy of Avatar;Computer Agent;Digital Twin;Data Storage;Data sharing and Data interoperability","Technological innovation;Metaverse;Extended reality;Avatars;Wearable computers;Education;User experience","avatars;digital twins;Internet;open systems;virtual reality","detail eight enabling technologies;digital avatars;digital twins;educational experience;Extended Reality;generation Internet;innovation technologies;Metaverse ecosystem;Metaverse evolution;offer value;physical world;prospective metaverse technology;shared virtual area;term Metaverse;toward future Digital Twin campuses;virtual worlds","","","","89","IEEE","5 Apr 2023","","","IEEE","IEEE Conferences"
"EO space and multi-source data visualization using Virtual Reality in the ESA Φ-Lab","P. Sacramento; A. Deligant; S. Loekken; P. P. Mathieu","Operations Services Solenix c/o ESA/ESRIN, Frascati, Italy; Department of Geoinformatics, Palacký University Olomouc, Czech Republic & Paris Lodron University, Salzburg, Austria; Earth Observation Programmes ESA/ESRIN Φ-Lab, Frascati, Italy; Earth Observation Programmes ESA/ESRIN Φ-Lab, Frascati, Italy","2022 IEEE International Conference on Metrology for Extended Reality, Artificial Intelligence and Neural Engineering (MetroXRAINE)","5 Dec 2022","2022","","","737","741","Since its inception in 2017, the European Space Agency’s Φ-Lab has put some of its focus on Virtual Reality (VR), Augmented Reality (AR) and Mixed Reality (MR), and how such technologies can be exploited in the frame of Earth Observation (EO) use-cases. Together with NORCE, the Norwegian Research Centre, a setup has been developed and deployed physically in the Φ-Lab in 2018, based on the GeoViz software, which allows navigating a full 3D globe of the Earth and even flying to other planets/satellites (e.g. the Moon). Users are free to choose which locations to explore and, for each of those locations, which EO images/products to examine (Sentinel-2 band combinations, Sentinel-3 scenes and Sentinel-1-derived products such as interferograms, coherence, intensity). GeoViz is also able to display 3D models (e.g. of spacecraft, buildings), point clouds (e.g. of cities, sites, inSAR showing soil subsidence), laser scans (e.g. of plantations) and even hyperspectral data. More recently, the hype around Digital Twins, and particularly the ESA Digital Twin Urban Pilot (DTUP) project, led to the generation of highly-detailed 3D model reconstructions of sites of interest (namely the ESA/ESRIN site and the city of Frascati), surveyed using drones. Using these 3D models partly as direct inputs, partly as inspiration, a second permanent VR/XR installation was developed and deployed in the lab in 2021. This installation leverages the Unity game engine development platform, to produce an early extended reality (XR) precursor of a digital twin of the ESRIN campus. The ESRIN 3D model is integrated, through the Unity application, with real-time environmental data sensed in-situ by two different kinds of specialized device existing in ESRIN, one measuring air quality (PM25, PM10, CO2, NO2, NH3, CO, etc.) and one measuring vegetation health (NDVI, evapotranspiration, chlorophyl, etc.). The complete augmented model can then be explored using virtual reality headsets. Future plans include the implementation of an Augmented Reality experience using an Android mobile phone App, which would allow users present on-site to walk around and use their phone cameras for the augmented visualization and interaction experience.","","978-1-6654-8574-6","10.1109/MetroXRAINE54828.2022.9967539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9967539","virtual reality;augmented reality;mixed reality;earth observation;satellite data;3D models;digital twin","Earth;Solid modeling;Three-dimensional displays;Extended reality;Atmospheric modeling;Urban areas;Data visualization","data visualisation;virtual reality","Augmented Reality experience;augmented visualization;complete augmented model;Digital Twins;early extended reality precursor;Earth Observation use-cases;EO space;ESA Digital Twin Urban Pilot project;ESA Phi-Lab;ESRIN 3D model;European Space Agency's Phi-Lab;GeoViz software;highly-detailed 3D model reconstructions;hyperspectral data;interaction experience;multisource data visualization;NH3;Norwegian Research Centre;real-time environmental data;Sentinel-1-derived products;Sentinel-2 band combinations;Sentinel-3 scenes;Unity game engine development platform;virtual reality headsets","","","","10","IEEE","5 Dec 2022","","","IEEE","IEEE Conferences"
"ReImagine Lab: Bridging the Gap Between Hands-On, Virtual and Remote Control Engineering Laboratories Using Digital Twins and Extended Reality","S. Alsaleh; A. Tepljakov; A. Köse; J. Belikov; E. Petlenkov","Department of Computer Systems, Tallinn University of Technology, Tallinn, Estonia; Department of Computer Systems, Tallinn University of Technology, Tallinn, Estonia; Department of Computer Systems, Tallinn University of Technology, Tallinn, Estonia; Department of Software Science, Tallinn University of Technology, Tallinn, Estonia; Department of Computer Systems, Tallinn University of Technology, Tallinn, Estonia","IEEE Access","1 Sep 2022","2022","10","","89924","89943","Practical work is one of the most important instructional tools in control engineering. To address concerns linked to the cost and space requirements of traditional hands-on laboratories, technology-enabled laboratory modes, such as virtual, remote, and take-home laboratory modes are proposed. Each of these alliterative laboratory modes has its own set of benefits and emphasizes a distinct learning goal. Furthermore, due to lockdown and physical proximity restrictions imposed by policies in response to the COVID-19 pandemic, the employment of these laboratory modes has been quickly increasing. The laboratories’ development, operation, and maintenance become more fragmented as a result of these many possibilities. In this study, we propose “ ReImagine Lab” as a framework for leveraging digital twins and extended reality technologies to streamline the development and operation of hands-on, virtual, and remote laboratories. By increasing the level of interaction, immersion, and collaboration in technology-enabled laboratory forms, this framework intends to boost student engagement. The benefits of this framework are demonstrated by examining several use cases, and a 37-person “system usability study” is conducted to assess the usability of virtual laboratories employing desktop computers and immersive virtual reality.","2169-3536","","10.1109/ACCESS.2022.3199371","Eesti Teadusagentuur(grant numbers:PRG658); Teaching Grant awarded to Aleksei by the School of Information Technologies, Taltech, in 2019; Eesti Teadusagentuur(grant numbers:PRG1463); Eesti Teadusagentuur(grant numbers:PRG658); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9858137","Control system;digital twins;extended reality;virtual reality;industry 40;remote laboratories;virtual laboratories;metaverse","Control systems;Digital twins;Remote laboratories;Mathematical models;Control engineering;Synchronization;Solid modeling;Fourth Industrial Revolution;Virtual reality;Laboratories","computer aided instruction;laboratories;virtual reality","space requirements;traditional hands-on laboratories;technology-enabled laboratory modes;take-home laboratory modes;alliterative laboratory modes;distinct learning goal;lockdown;physical proximity restrictions;COVID-19 pandemic;ReImagine Lab;leveraging digital twins;extended reality technologies;remote laboratories;technology-enabled laboratory forms;virtual laboratories;immersive virtual reality;practical work;instructional tools;control engineering","","2","","66","CCBY","17 Aug 2022","","","IEEE","IEEE Journals"
"Utilizing Virtual Reality to Enhance the Digital Twin","E. Schmidtberg; L. Goff; A. Moubray; G. Toy",Raytheon Missiles & Defense; Raytheon Missiles & Defense; Raytheon Missiles & Defense; Raytheon Missiles & Defense,"2022 Annual Reliability and Maintainability Symposium (RAMS)","20 Sep 2022","2022","","","1","5","This paper discusses the expanded utilization of modelling methods, processes, and technologies that are created during the design of complex systems, and it addresses how models and applications generated at different portions of the lifecycle can be integrated for enhanced sustainment solutions. The use of model-based technologies like digital twin for engineering and manufacturing purposes is well-defined and industry has already begun extending these technologies into the deployment of systems for predictive maintenance. Similarly, technology in virtual reality, augmented reality, and gaming engines for training, maintenance, and product improvement has paved a path for the digital thread to extend to the sustainment phase of the product lifecycle. The integration of digital twin and virtual reality throughout the lifecycle of a product would not only provide valuable insight into the design and function of a product, but could enhance current training applications to drastically reduce operator training costs long-term.","2577-0993","978-1-6654-2432-5","10.1109/RAMS51457.2022.9893993","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9893993","CBM+;Virtual Reality;FMECA;Digital Twin;Immersive Training","Training;Solid modeling;Costs;Collaboration;Virtual environments;Random access memory;Reliability engineering","augmented reality;computer based training;maintenance engineering;production engineering computing;virtual reality","gaming engines;product improvement;digital thread;sustainment phase;product lifecycle;digital twin;virtual reality;current training applications;expanded utilization;modelling methods;complex systems;different portions;enhanced sustainment solutions;model-based technologies;manufacturing purposes;predictive maintenance;augmented reality","","","","5","IEEE","20 Sep 2022","","","IEEE","IEEE Conferences"
"Digital Twins in Extended Reality for Control System Applications","S. Jeršov; A. Tepljakov","Department of Software Science, Tallinn University of Technology, Tallinn, Estonia; Department of Computer Systems, Tallinn University of Technology, Tallinn, Estonia","2020 43rd International Conference on Telecommunications and Signal Processing (TSP)","11 Aug 2020","2020","","","274","279","In this paper, we investigate potential applications of digital twins (DT) in extended reality (XR) to control systems. Specifically, we are interested in facilitating industrial use of XR and DT by initially implementing training applications that can be used in the classroom and then moving into the development of supervisory control and data acquisition (SCADA) applications suitable for industrial use. A comprehensive literature review is performed providing the basis and motivation for this research endeavor. In the pilot study, we use a real-life laboratory model of a multi-tank system as a use case. We develop a digital twin for this control object in extended reality with all necessary interaction mechanics, and connect it to the real plant for performing real-time hardware-in-the-loop (HIL) experiments. The theoretical bases and the technical development are detailed in the paper, and results of an illustrative experiment are provided and commented upon.","","978-1-7281-6376-5","10.1109/TSP49548.2020.9163557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163557","digital twin;extended reality;control system;PID control;training;supervisory control and data acquisition;advanced user interface;industrial application","Extended reality;Visualization;Training;SCADA systems;Solid modeling;Real-time systems","control engineering computing;control system synthesis;data acquisition;industrial plants;SCADA systems;tanks (containers)","digital twin;extended reality;control system applications;XR;training applications;supervisory control and data acquisition applications;multitank system;DT;SCADA;interaction mechanics;real-time hardware-in-the-loop experiments;HIL","","8","","29","IEEE","11 Aug 2020","","","IEEE","IEEE Conferences"
"A Framework for Extended Reality System Development in Manufacturing","L. Gong; Å. Fast-Berglund; B. Johansson","Department of Industrial and Materials Science, Chalmers University of Technology, Gothenburg, Sweden; Department of Industrial and Materials Science, Chalmers University of Technology, Gothenburg, Sweden; Department of Industrial and Materials Science, Chalmers University of Technology, Gothenburg, Sweden","IEEE Access","12 Feb 2021","2021","9","","24796","24813","This paper presents a framework for developing extended reality (XR) systems within manufacturing context. The aim of this study is to develop a systematic framework to improve the usability and user acceptance of future XR systems. So that manufacturing industry can move from the “wow effect” of XR demonstrators into the stage whereas XR systems can be successfully integrated and improve the conventional work routines. It is essential to ensure the usability and user acceptance of XR systems for the wider adoption in manufacturing. The proposed framework was developed through six case studies that covered different XR system developments for different application areas of manufacturing. The framework consists of five iterative phases: (1) requirements analysis, (2) solution selection, (3) data preparation, (4) system implementation and (5) system evaluation. It is validated through one empirical case and seven identified previous studies, which partly aligned with the proposed framework. The proposed framework provides a clear guideline on the steps needed to integrate XR in manufacturing and it extends the XR usage with increased usability and user acceptance. Furthermore, it strengthens the importance of user-centered approach for XR system development in manufacturing.","2169-3536","","10.1109/ACCESS.2021.3056752","VINNOVA through projects SUMMIT (SUstainability, sMart Maintenance and factory design Testbed)(grant numbers:2017-04773); DIP (Digital twin for development and installation of production systems)(grant numbers:2018-02698); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9345690","Extended reality;virtual reality;mixed reality;augmented reality;virtual manufacturing","X reality;Manufacturing;Software;Extended reality;Headphones;Usability;Real-time systems","interactive systems;manufacturing industries;multimedia computing;production engineering computing;user centred design;virtual reality","XR system development;extended reality system development;extended reality systems;manufacturing context;user acceptance;manufacturing industry;XR demonstrators;conventional work routines;XR usage;XR system developments","","20","","98","CCBY","3 Feb 2021","","","IEEE","IEEE Journals"
