"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on Quadruped Robot Inspection System Based on Digital Twin Technology","W. Ding; X. Zhu; T. Guo; X. Liu; Y. Zhang","State Grid Jilin Power Supply Company, Jilin, China; State Grid Jilin Power Supply Company, Jilin, China; State Grid Jilin Power Supply Company, Jilin, China; State Grid Jilin Power Supply Company, Jilin, China; State Grid Jilin Power Supply Company, Jilin, China","2022 2nd International Conference on Electrical Engineering and Control Science (IC2ECS)","6 Apr 2023","2022","","","1256","1260","The increasingly mature intelligent robot technology has brought historical opportunities for the innovative development and management model reform of power operation and inspection technology. With the application of “AR+AI” technology, digital twin technology is driving the power industry into the era of “intelligent power+"". At present, substation inspection is still in the transition period from “manual inspection” to “intelligent inspection”. As one of the supporting digital twin technologies, AR/VR has become a research hotspot. Through the combination of AR/VR technology and AI technology, creating remote solutions to realize intelligent substation equipment inspection is gradually becoming an industry consensus. Through the scenario integration of intelligent operation and maintenance four-legged inspection robots, the lean level of equipment management and production management can be improved, the business process can be optimized, the efficiency of resource optimization allocation can be improved, the operation and maintenance risks can be reduced, and the goal of innovative management mode can be achieved.","","979-8-3503-9916-5","10.1109/IC2ECS57645.2022.10088013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10088013","component;AR/VR technology;quadrupedal inspection robot;digital twin;intelligent inspection","Substations;Inspection;Maintenance engineering;Streaming media;Robot sensing systems;Digital twins;Quadrupedal robots","artificial intelligence;digital twins;innovation management;inspection;intelligent robots;legged locomotion;maintenance engineering;power engineering computing;production engineering computing;substations;virtual reality","AR+AI technology;digital twin technology;equipment management;innovative development;innovative management mode;inspection technology;intelligent inspection;intelligent operation;intelligent power;intelligent substation equipment inspection;maintenance four-legged inspection robots;management model reform;mature intelligent robot technology;power industry;power operation;production management;quadruped robot inspection system;research hotspot;substation inspection","","","","12","IEEE","6 Apr 2023","","","IEEE","IEEE Conferences"
"Design and research of substation inspection mode based on digital twins","Z. Zhang; Y. Duan","Computer Department, Hubei University of Technology, Hubei, China; Computer Department, Hubei University of Technology, Hubei, China","2023 2nd International Conference on Big Data, Information and Computer Network (BDICN)","28 Apr 2023","2023","","","53","57","Aiming at the problems of single inspection mode and poor real time performance in current substations, a substation inspection visualization system based on digital twins is proposed. The development process of substation twin system is introduced. Based on the digital twin five-dimensional model, the connection between physical entities and twin entities is established. The modeling of physical entities, real-time data mapping and result analysis are described respectively. At the same time, the verification and analysis of the system results can prove that the model based on the digital twin system can effectively carry out virtual real synchronization and prove the effectiveness of the system.","","979-8-3503-2136-4","10.1109/BDICN58493.2023.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10109922","Digital twin;Real-time synchronization;UE4;Substation patrol inspection","Solid modeling;Analytical models;Visualization;Substations;Robot kinematics;Dogs;Inspection","digital twins;inspection;substations","current substations;digital twin five-dimensional model;digital twin system;digital twins;physical entities;real-time data mapping;result analysis;single inspection mode;substation inspection mode;substation inspection visualization system;substation twin system;system results;twin entities","","","","15","IEEE","28 Apr 2023","","","IEEE","IEEE Conferences"
"Digital Twin Driven Mixed Reality Assembly Inspection Method","X. Guo; G. Yang; R. Guo","Shenyang Institute of Computing Technology Co.,Ltd., Chinese Academy of Sciences, Shenyang, China; Northeastern University, Shenyang, China; Shenyang Institute of Computing Technology Co.,Ltd., Chinese Academy of Sciences, Shenyang, China","2022 IEEE 8th International Conference on Computer and Communications (ICCC)","20 Mar 2023","2022","","","2187","2191","Aiming at the low recognition rate of assembly features caused by angle, light and other factors in mixed reality assembly, this paper proposes a digital twin driven intelligent assembly detection method, which enhances the original data set from image enhancement, geometric enhancement and digital twin space virtual data enhancement, effectively increasing the diversity of samples. At the same time, it solves the problem of large tasks of Sample labeling. In this paper, seven features of three auto parts are selected for experiments, The experimental results show that this method can effectively expand the data set and improve the feature recognition rate.","","978-1-6654-5051-5","10.1109/ICCC56324.2022.10065847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10065847","Digital twins;virtual assembly;Assembly inspection;Data enhancement","Legged locomotion;Image recognition;Mixed reality;Jitter;Inspection;Digital twins;Labeling","assembling;augmented reality;digital twins;feature extraction;image enhancement;inspection;production engineering computing","assembly features;data set;digital twin driven mixed reality assembly inspection method;digital twin space virtual data enhancement;feature recognition rate;geometric enhancement;image enhancement;intelligent assembly detection method;low recognition rate","","","","10","IEEE","20 Mar 2023","","","IEEE","IEEE Conferences"
"Research on 5G UAV Smart Grid Inspection Technology Based on Digital Twin","M. Xu","CETC Taiji Computer Co., Ltd., Beijing, China","2021 IEEE 7th International Conference on Cloud Computing and Intelligent Systems (CCIS)","14 Apr 2022","2021","","","367","370","At present, 5G, UAV, Beidou Positioning, artificial intelligence and digital twin technology are accelerating the deep integration with industrial departments such as transmission grid. This paper studies the intelligent application of 5G UAV based on digital twin in transmission grid, especially the key technologies of transmission line inspection, digital twin technology and 5G UAV technology, Through the research, it is found that the intelligent inspection of transmission line using UAV for data acquisition and supervision, 5G as transmission channel and digital twin as dynamic simulation tool has the characteristics of immersive monitoring operation, intelligent fault diagnosis, automatic problem tracking and remote centralized control command, which can improve the inspection efficiency of transmission line, dynamic monitoring around substation. The results of fault detection, emergency treatment and self-healing are remarkable. The application of digital twin technology to simulate unmanned unit inspection of transmission lines, substations and key components such as insulators, as well as inspection track and early warning tracking, are more realistic, intelligent, effective and safe, which can improve the overall economic efficiency of power grid transmission supply, operation and maintenance, At the same time, it also improves the intelligent level of power grid and provides a reference for the in-depth research of the technical system.","","978-1-6654-4149-0","10.1109/CCIS53392.2021.9754652","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9754652","5G;UAV;Digital twins;Smart grid;Power inspection","Degradation;Visualization;Power transmission lines;Substations;5G mobile communication;Digital twin;Data acquisition","5G mobile communication;alarm systems;autonomous aerial vehicles;computerised monitoring;data acquisition;fault diagnosis;inspection;maintenance engineering;monitoring;power engineering computing;power grids;power overhead lines;smart power grids;substations","inspection efficiency;digital twin technology;unmanned unit inspection;inspection track;power grid transmission supply;5G UAV smart grid inspection technology;artificial intelligence;transmission grid;intelligent application;transmission line inspection;intelligent inspection;transmission channel;intelligent fault diagnosis;data acquisition","","1","","14","IEEE","14 Apr 2022","","","IEEE","IEEE Conferences"
"Inspection Robot Based on Offline Digital Twin Synchronization Architecture","J. Li; M. Liu; W. Wang; C. Hu","School of Information Engineering and the Robot Technology Used for Special Environment Key Laboratory of Sichuan Province, Southwest University of Science and Technology, Mianyang, China; School of Information Engineering and the Robot Technology Used for Special Environment Key Laboratory of Sichuan Province, Southwest University of Science and Technology, Mianyang, China; School of Information Engineering and the Robot Technology Used for Special Environment Key Laboratory of Sichuan Province, Southwest University of Science and Technology, Mianyang, China; School of Information Engineering and the Robot Technology Used for Special Environment Key Laboratory of Sichuan Province, Southwest University of Science and Technology, Mianyang, China","IEEE Journal of Radio Frequency Identification","13 Dec 2022","2022","6","","943","947","Aiming at the problems of personnel safety and work efficiency in complex environments, to facilitate real-time and reliable inspection, this paper proposes a virtual-real control system for inspection robots based on Unity and Robot Operating System (ROS). The robot entity uses the ROS system to use the SLAM algorithm to construct a real scene map, and maps it to the Unity3D environment, realizes data interaction with the support of wireless communication and other technologies, transmits data in real-time to drive the motion of the twin body, and remotely observes the movement of the physical entity; The virtual side can perform algorithm training and save the planned safe and feasible path. The key points on the path are supplemented by the ROS underlying algorithm to further ensure the reliability of the path, and the experimental process of virtual-real synchronization is demonstrated graphically.","2469-7281","","10.1109/JRFID.2022.3207047","National Basic Research Project(grant numbers:JCKY2020404C001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9893160","Offline twin synchronization;digital twin;unity 3D-ROS","Robots;Inspection;Digital twins;Robot kinematics;Synchronization;Three-dimensional displays;Robot sensing systems","control engineering computing;inspection;mobile robots;path planning;robot vision;SLAM (robots)","algorithm training;complex environments;data interaction;inspection Robot;inspection robots;offline digital twin synchronization architecture;personnel safety;physical entity;planned safe;reliable inspection;robot entity;Robot Operating System;ROS system;ROS underlying algorithm;scene map;SLAM algorithm;transmits data;twin body;Unity3D environment;virtual-real control system;virtual-real synchronization","","","","20","IEEE","15 Sep 2022","","","IEEE","IEEE Journals"
"Design and Implementation of MR Patrol Inspection System Based on Digital Twins","H. Yu; S. Yan; W. Ma; Y. Sun; J. Li","China Aviation Planning and Design Institute (Group) Co., Ltd., Beijing, China; China Aviation Planning and Design Institute (Group) Co., Ltd., Beijing, China; China Aviation Planning and Design Institute (Group) Co., Ltd., Beijing, China; China Aviation Planning and Design Institute (Group) Co., Ltd., Beijing, China; China Aviation Planning and Design Institute (Group) Co., Ltd., Beijing, China","2022 IEEE 10th Joint International Information Technology and Artificial Intelligence Conference (ITAIC)","3 Aug 2022","2022","10","","2560","2564","Patrol inspection is a common method to monitor the state of production line and has shown a trend towards digital assistance with the development of digital twins and mixed reality (MR). Aiming to improve the efficiency and accuracy of patrol inspection, this paper proposed a MR patrol inspection system based on digital twins. Firstly, the relationship among MR patrol inspection system, physical production line and virtual production line is elaborated. Secondly, the key enablers to fulfill the interaction between MR patrol inspection system and production line digital twins are presented, including MR-oriented digital twins modeling, variable frequency data handling and dynamic adjustment of MR presentations. Finally, a prototype MR patrol inspection system is developed and integrated with a digital twin system, verifying the effectiveness of proposed technology.","2693-2865","978-1-6654-2207-9","10.1109/ITAIC54216.2022.9836875","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9836875","mixed reality;digital twins;MR presentation;patrol inspection","Data handling;Prototypes;Mixed reality;Virtual reality;Production;Inspection;Market research","augmented reality;data handling;inspection;virtual manufacturing","MR patrol inspection system;physical production line;virtual production line;production line digital twins;digital twin system;digital assistance;variable frequency data handling","","","","7","IEEE","3 Aug 2022","","","IEEE","IEEE Conferences"
"An Investigation of the Network Characteristics and Requirements of 3D Environmental Digital Twins for Inspection Robots","H. Kivrak; P. D. E. Baniqued; S. Watson; B. Lennox","Department of Electrical and Electronic Engineering, The University of Manchester, Manchester, United Kingdom; Department of Electrical and Electronic Engineering, The University of Manchester, Manchester, United Kingdom; Department of Electrical and Electronic Engineering, The University of Manchester, Manchester, United Kingdom; Department of Electrical and Electronic Engineering, The University of Manchester, Manchester, United Kingdom","2022 IEEE 23rd International Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM)","9 Aug 2022","2022","","","596","600","Digital twins tend to be on the way of becoming the future of robots, artificial intelligence, and IoT devices, especially in industrial applications. Creating a digital twin solution will help to solve challenges faced in managing the tasks in their operating environment since it enables an integrated solution for the framework that seamlessly connects to their physical counterparts with the latest internet technologies. In this study, we aim to develop a synchronous, situational-aware, bi-directional/multi-directional digital twin platform that allows us to perceive real-time/simultaneous flow of sensory environmental data and remotely operate robots through digital twins for continuous inspection. To achieve this aim, we will investigate the interoperability issues in robot teleoperation with 3D mapping of a remote unknown environment case scenario.","","978-1-6654-0876-9","10.1109/WoWMoM54355.2022.00093","UK Research and Innovation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842785","environmental digital twins;cyber-physical systems;network requirements;inspection;maintenance;repair robots;cloud robotics","Wireless communication;Wireless sensor networks;Three-dimensional displays;Service robots;Multimedia systems;Inspection;Robot sensing systems","inspection;Internet;Internet of Things;mobile robots;open systems;telerobotics","network characteristics;3D environmental digital twins;inspection robots;artificial intelligence;IoT devices;industrial applications;digital twin solution;integrated solution;latest internet technologies;sensory environmental data;continuous inspection;robot teleoperation","","","","10","IEEE","9 Aug 2022","","","IEEE","IEEE Conferences"
"Intelligent Operation and Inspection of Power Grid Based on Deep Recursive Belief Network and Digital Twin Technology","X. Ma; F. Liu; J. Tang; X. Liu; Y. Fang; Q. Shao; H. Gao; H. Xiang; F. Yang","Production Control Center, State Grid Sichuan Electric Power Research Institute, Chengdu, China; State Grid Sichuan Electric Power Research Institute, Chengdu, China; State Grid Sichuan Electric Power Company, Chengdu, China; Production Control Center, State Grid Sichuan Electric Power Research Institute, Chengdu, China; Production Control Center, State Grid Sichuan Electric Power Research Institute, Chengdu, China; Post-Doctoral Research Center, State Grid Sichuan Electric Power Research Institute, Chengdu, China; State Grid Ziyang Electric Power Supply Company, Ziyang, China; State Grid Sichuan Electric Power Company, Chengdu, China; State Grid Luzhou Electric Power Supply Company, Luzhou, China","2023 Panda Forum on Power and Energy (PandaFPE)","9 Jun 2023","2023","","","1137","1142","The combination of digital twin technology and power grid business will help to comprehensively improve the power grid intelligent management and control capability. On the basis of digital twinning, this paper combines the operation mechanism of the intelligent operation and inspection platform of the power grid to deploy the intelligent operation and inspection platform of the power grid. The real-time measurement sensing, digital model, data-driven and simulation decision-making of the platform are emphatically designed. Two algorithms are proposed, which are power grid equipment status assessment and power grid equipment fault prediction. Finally, the intelligent grid maintenance platform is applied to the inspection business, and the application effect and value of the intelligent grid inspection platform are summarized.","","979-8-3503-2117-3","10.1109/PandaFPE57779.2023.10141509","State Grid Corporation of China(grant numbers:5500-202219275A-2-0-XG); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10141509","Digital Twin Technology;Smart Grid;Operation Inspection Service","Decision making;Inspection;Maintenance engineering;Prediction algorithms;Power grids;Real-time systems;Digital twins","belief networks;decision making;digital twins;fault diagnosis;inspection;maintenance engineering;power engineering computing;power grids","control capability;deep recursive belief network;digital model;digital twin technology;digital twinning;inspection business;intelligent grid inspection platform;intelligent grid maintenance platform;intelligent operation;operation mechanism;power grid business;power grid equipment fault prediction;power grid equipment status assessment;power grid intelligent management","","","","15","IEEE","9 Jun 2023","","","IEEE","IEEE Conferences"
"Application of Digital Twin in Power Grid Inspection","J. Wang; X. Ding; F. Meng","School of Computer Science, Northeast Electric Power University, Jilin, China; School of Computer Science, Northeast Electric Power University, Jilin, China; School of Computer Science, Northeast Electric Power University, Jilin, China","2023 IEEE 12th International Conference on Communication Systems and Network Technologies (CSNT)","31 May 2023","2023","","","297","303","With the wide application of deep learning technology in power grid inspection, it provides a strong guarantee for timely investigation of power grid hidden dangers and problems. However, the existing intelligent inspection technology has many problems, such as low detection accuracy, unbalanced data samples, relatively isolated inspection system and so on. It is urgent to establish a new intelligent inspection technology system. Digital twin technology can be highly integrated with advanced technologies such as Internet of Things and target detection to form effective monitoring, simulation and diagnosis of physical entities. Therefore, this paper summarizes the characteristics and technical system of digital power grid, expounds the integration application of digital twin and power grid inspection and detection, summarizes and introduces the construction method of digital twin technology in power grid operation and maintenance scenarios, and points out the problems and future directions of current digital twin application in power grid intelligent operation and maintenance. It provides a new theoretical method for intelligent patrol management of power grid facilities.","2473-5655","978-1-6654-6261-7","10.1109/CSNT57126.2023.10134604","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10134604","digital twin;digital power grid;power grid intelligent operation and maintenance;power grid inspection","Analytical models;Heuristic algorithms;Power system dynamics;Object detection;Inspection;Maintenance engineering;Power grids","deep learning (artificial intelligence);digital twins;inspection;Internet of Things;power engineering computing;power grids;production engineering computing","current digital twin application;deep learning technology;digital power grid;digital twin technology;existing intelligent inspection technology;inspection system;integration application;intelligent inspection technology system;low detection accuracy;maintenance scenarios;power grid facilities;power grid inspection;power grid intelligent operation;power grid operation;summarizes;technical system","","","","23","IEEE","31 May 2023","","","IEEE","IEEE Conferences"
"Digital Twin Modeling and Operating State Assessment of Substation Equipment","L. Huang; Y. Liang; H. Huang; J. Zhou","Electric Power Intelligent Sensing Technology and Application State Grid Corporation Joint Laboratory, Global Energy Interconnection Research Institute Co., Ltd, Beijing, China; Electric Power Intelligent Sensing Technology and Application State Grid Corporation Joint Laboratory, Global Energy Interconnection Research Institute Co., Ltd, Beijing, China; Electric Power Intelligent Sensing Technology and Application State Grid Corporation Joint Laboratory, Global Energy Interconnection Research Institute Co., Ltd, Beijing, China; State Grid Jiaxing Power Supply Company, Jiaxing, China","2021 4th International Conference on Energy, Electrical and Power Engineering (CEEPE)","20 Jul 2021","2021","","","159","163","The comprehensive perception of substation equipment status is the precondition of ensuring safe operation and realizing intelligent patrol inspection of substation. With the development of digital power grid, higher requirements are put forward for the fine management of power equipment. Digital twin technology is one of the ideal ways to realize the real-time perception and evaluation of the running state of equipment by using digital technology such as sensor, Internet of Things, virtual reality and artificial intelligence. Aiming at the problem of precision constraint and error accumulation of physical model, a digital twin modeling method for substation equipment based on multi-parameter perceptual data and a method for equipment operation state evaluation is proposed.","","978-1-6654-3363-1","10.1109/CEEPE51765.2021.9475674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9475674","digital twin;modeling method;state evaluation;virtual interaction","Solid modeling;Substations;Digital twin;Virtual reality;Inspection;Data models;Real-time systems","inspection;power apparatus;power engineering computing;power grids;substation automation","operating state assessment;substation equipment status;safe operation;digital power grid;power equipment;digital twin technology;real-time perception;artificial intelligence;digital twin modeling method;equipment operation state evaluation;intelligent patrol inspection;multiparameter perceptual data","","1","","18","IEEE","20 Jul 2021","","","IEEE","IEEE Conferences"
